frame,cpu_frame_ms,cpu_physics_ms,cpu_mesh_ms,cpu_egui_ms,cpu_check_win_ms,cpu_shadow_segs_ms,cpu_submit_ms,cpu_celebration_ms,gpu_total_ms,gpu_shadow_ms,gpu_hdr_ms,gpu_bloom_ms,rope_verts,rope_tris,event,render_scale,render_mode,dragging,render_size,skip,table_shadow_mode
797,37.498,2.534,0.327,0.164,0.000,0.022,0.097,0.000,36.267,0.020,36.191,0.056,8120,15600,,1.00,1,0,4112x2570,S,0
798,36.659,1.770,0.339,0.107,0.000,0.022,0.059,0.000,35.070,0.017,35.001,0.052,8120,15600,,1.00,1,0,4112x2570,S,0
799,36.684,1.829,0.310,0.082,0.000,0.020,0.070,0.000,34.514,0.016,34.453,0.045,8120,15600,,1.00,1,0,4112x2570,S,0
800,37.029,2.019,0.372,0.092,0.000,0.023,0.079,0.000,35.116,0.017,35.049,0.051,8120,15600,,1.00,1,0,4112x2570,S,0
801,37.793,1.758,0.382,0.072,0.000,0.019,0.065,0.000,35.566,0.020,35.494,0.053,8120,15600,,1.00,1,0,4112x2570,S,0
802,36.194,2.498,0.355,0.073,0.000,0.024,0.071,0.000,34.129,0.021,34.056,0.052,8120,15600,,1.00,1,0,4112x2570,S,0
803,35.699,2.025,0.351,0.075,0.000,0.022,0.069,0.000,34.038,0.017,33.969,0.052,8120,15600,,1.00,1,0,4112x2570,S,0
804,35.366,1.669,0.322,0.075,0.000,0.020,0.060,0.000,33.987,0.016,33.922,0.049,8120,15600,,1.00,1,0,4112x2570,S,0
805,35.390,1.625,0.314,0.078,0.000,0.022,0.083,0.000,33.507,0.016,33.444,0.047,8120,15600,,1.00,1,0,4112x2570,S,0
806,35.532,1.725,0.336,0.074,0.000,0.024,0.067,0.000,33.497,0.017,33.430,0.050,8120,15600,,1.00,1,0,4112x2570,S,0
807,34.663,1.971,0.355,0.084,0.000,0.023,0.074,0.000,32.836,0.021,32.762,0.054,8120,15600,,1.00,1,0,4112x2570,S,0
